Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""common/Long Form/11_3 - input outer package""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 14:26:52,2022-11-15 14:26:59,7.426s,PASSED
"callTestCase(findTestCase(""common/Long Form/11_4 - input add parts""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 14:26:59,2022-11-15 14:27:07,7.987s,PASSED
"click(findTestObject(""TC006/TC006_4/click before scroll up""))",Chrome 107.0.0.0,,,2022-11-15 14:27:07,2022-11-15 14:27:08,0.464s,PASSED
"sendKeys(findTestObject(null), Keys.chord(HOME))",Chrome 107.0.0.0,,,2022-11-15 14:27:08,2022-11-15 14:27:08,0.553s,PASSED
"click(findTestObject(""TC006/TC006_4/button_Submit""))",Chrome 107.0.0.0,,,2022-11-15 14:27:08,2022-11-15 14:27:10,1.094s,PASSED
"click(findTestObject(""TC006/Page_Brivge/button_CONFIRM""))",Chrome 107.0.0.0,,,2022-11-15 14:27:10,2022-11-15 14:27:11,1.083s,PASSED
"verifyElementVisible(findTestObject(""TC006/Page_Brivge/p_The operation was successful""))",Chrome 107.0.0.0,,,2022-11-15 14:27:11,2022-11-15 14:27:12,1.832s,PASSED
,,,,,,,
Test Cases/TC012 - Revise and Approve Seller Invoice (BU),Chrome 107.0.0.0,,,2022-11-15 14:27:12,2022-11-15 14:27:48,35.754s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameLuqman, ""password"":passwordLuqman, ""verification"":verificationLuqman, ""company"":sgttap], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 14:27:13,2022-11-15 14:27:37,23.793s,PASSED
"click(findTestObject(""TC012/button_Accounting""))",Chrome 107.0.0.0,,,2022-11-15 14:27:37,2022-11-15 14:27:37,0.593s,PASSED
"click(findTestObject(""TC012/li_Seller(GI) Invoice List""))",Chrome 107.0.0.0,,,2022-11-15 14:27:37,2022-11-15 14:27:39,1.601s,PASSED
"click(findTestObject(""TC012/input_Seller(GI) Invoice List""))",Chrome 107.0.0.0,,,2022-11-15 14:27:39,2022-11-15 14:27:40,1.096s,PASSED
"setText(findTestObject(""TC012/input_Seller(GI) Invoice List""), custContractNo)",Chrome 107.0.0.0,,,2022-11-15 14:27:40,2022-11-15 14:27:44,4.184s,PASSED
"invoiceNo = getText(findTestObject(""TC012/p_invoiceNo""))",Chrome 107.0.0.0,,,2022-11-15 14:27:44,2022-11-15 14:27:45,0.386s,PASSED
"util.copyToExcel.exel(invoiceNo, 1, 11)",Chrome 107.0.0.0,,,2022-11-15 14:27:45,2022-11-15 14:27:45,0.074s,PASSED
"check(findTestObject(""TC012/input_SGTTAP TO VNTTVN 1103010""))",Chrome 107.0.0.0,,,2022-11-15 14:27:45,2022-11-15 14:27:46,0.941s,PASSED
"scrollToElement(findTestObject(""TC012/div_Status""), 0)",Chrome 107.0.0.0,,,2022-11-15 14:27:46,2022-11-15 14:27:46,0.748s,PASSED
"click(findTestObject(""TC012/button_Approve""))",Chrome 107.0.0.0,,,2022-11-15 14:27:46,2022-11-15 14:27:47,0.707s,PASSED
"waitForElementPresent(findTestObject(""TC012/div_ApproveAre you sure to do Approve""), 0)",Chrome 107.0.0.0,,,2022-11-15 14:27:47,2022-11-15 14:27:48,0.563s,PASSED
"click(findTestObject(""TC012/button_CONFIRM""))",Chrome 107.0.0.0,,,2022-11-15 14:27:48,2022-11-15 14:27:48,0.527s,PASSED
,,,,,,,
Test Cases/TC013 - BU Complete Export Customs Invoice (BU),Chrome 107.0.0.0,,,2022-11-15 14:27:48,2022-11-15 14:28:36,47.633s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameLuqman, ""password"":passwordLuqman, ""verification"":verificationLuqman, ""company"":sgttap], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 14:27:49,2022-11-15 14:28:13,24.128s,PASSED
"click(findTestObject(""TC013/Page_Brivge/button_Logistics""))",Chrome 107.0.0.0,,,2022-11-15 14:28:13,2022-11-15 14:28:14,0.664s,PASSED
"click(findTestObject(""TC013/Page_Brivge/li_Customs Invoice List(Export)""))",Chrome 107.0.0.0,,,2022-11-15 14:28:14,2022-11-15 14:28:15,1.368s,PASSED
