Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"util.copyToExcel.exel(salesOrderNo, 1, 2)",Chrome 107.0.0.0,,,2022-11-15 16:39:28,2022-11-15 16:39:28,0.073s,PASSED
"util.copyToExcel.exel(buyer, 1, 3)",Chrome 107.0.0.0,,,2022-11-15 16:39:28,2022-11-15 16:39:28,0.078s,PASSED
"util.copyToExcel.exel(receiver, 1, 4)",Chrome 107.0.0.0,,,2022-11-15 16:39:28,2022-11-15 16:39:28,0.073s,PASSED
"verifyElementAttributeValue(findTestObject(""TC003/input_Please input related basic information_status""), ""value"", ""Received"", 0)",Chrome 107.0.0.0,,,2022-11-15 16:39:28,2022-11-15 16:39:29,0.458s,PASSED
"y = getAttribute(findTestObject(""TC003/input_Please input related basic information_orderNo""), ""value"")",Chrome 107.0.0.0,,,2022-11-15 16:39:29,2022-11-15 16:39:29,0.335s,PASSED
"out.println(""sales order no: "" + y)",Chrome 107.0.0.0,,,2022-11-15 16:39:29,2022-11-15 16:39:29,0.019s,PASSED
"click(findTestObject(""TC003/button_Confirm""))",Chrome 107.0.0.0,,,2022-11-15 16:39:29,2022-11-15 16:39:30,0.607s,PASSED
"waitForElementVisible(findTestObject(""TC003/p_Are you sure to do Confirm(c0001)""), 0)",Chrome 107.0.0.0,,,2022-11-15 16:39:30,2022-11-15 16:39:30,0.585s,PASSED
"click(findTestObject(""TC003/button_CONFIRM (1)""))",Chrome 107.0.0.0,,,2022-11-15 16:39:30,2022-11-15 16:39:31,0.617s,PASSED
"verifyElementVisible(findTestObject(""TC003/p_The operation was successful""))",Chrome 107.0.0.0,,,2022-11-15 16:39:31,2022-11-15 16:39:32,1.390s,PASSED
,,,,,,,
Test Cases/TC004 - Customer Change Order (Customer),Chrome 107.0.0.0,,,2022-11-15 16:39:32,2022-11-15 16:40:36,1m - 3.506s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameLuqman, ""password"":passwordLuqman, ""verification"":verificationLuqman, ""company"":vnttvn], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:39:33,2022-11-15 16:40:01,28.065s,PASSED
"click(findTestObject(""TC001/h6_Order""))",Chrome 107.0.0.0,,,2022-11-15 16:40:01,2022-11-15 16:40:05,4.495s,PASSED
"click(findTestObject(""delete order summary/li_Place ChangeCancel""))",Chrome 107.0.0.0,,,2022-11-15 16:40:05,2022-11-15 16:40:06,0.891s,PASSED
